file1,file2,label1,label2
../audioData/NIGENS/NIGENS/femaleSpeech/bbad2p.wav,../audioData/NIGENS/NIGENS/phone/TelephoneDomesti+6037_30_1.wav,femaleSpeech,phone
../audioData/NIGENS/NIGENS/femaleSpeech/bbaj2n.wav,../audioData/NIGENS/NIGENS/dog/Animal-Dog-Bark_GEN-HD2-26406.wav,femaleSpeech,dog
../audioData/NIGENS/NIGENS/crash/Smash_TreeFall_CrashBridge2_SFX-KIT.wav,../audioData/NIGENS/NIGENS/phone/TelephoneBell+1025_44_4.wav,crash,phone
../audioData/NIGENS/NIGENS/phone/TelephoneCellular+6087_56.wav,../audioData/NIGENS/NIGENS/footsteps/FootstepsDeck+6016_69_1.wav,phone,footsteps
../audioData/NIGENS/NIGENS/femaleScream/168814__11linda__evil-dark-painful.wav,../audioData/NIGENS/NIGENS/piano/CloseOutsideMic2.wav,femaleScream,piano
../audioData/NIGENS/NIGENS/knock/DOOR-KNOCK_GEN-HDF-09719.wav,../audioData/NIGENS/NIGENS/maleSpeech/bbaz6a.wav,knock,maleSpeech
../audioData/NIGENS/NIGENS/maleScream/220311__ellenskellington__manshout.wav,../audioData/NIGENS/NIGENS/femaleScream/58585__juskiddink__vocal-joy-and-excitement2.wav,maleScream,femaleScream
../audioData/NIGENS/NIGENS/crash/CrashRoof+6046_88.wav,../audioData/NIGENS/NIGENS/footsteps/FootstepsConcrete+6016_03_1.wav,crash,footsteps
../audioData/NIGENS/NIGENS/maleScream/320247__nicktermer__scream.wav,../audioData/NIGENS/NIGENS/fire/fire-burning+building_CAP01-182.wav,maleScream,fire
../audioData/NIGENS/NIGENS/dog/ANIMAL-DOG-BARK-SHORT_6EXT8-10047.wav,../audioData/NIGENS/NIGENS/maleScream/141242__tarrei__desperate-scream.wav,dog,maleScream
../audioData/NIGENS/NIGENS/alarm/ElectronicAlarm+L2SF2_15.wav,../audioData/NIGENS/NIGENS/knock/Wood-Hit-Knock-Or-Hammer-Medium_GEN-HD2-32802.wav,alarm,knock
../audioData/NIGENS/NIGENS/baby/HumanBaby+CTV05_41_04.wav,../audioData/NIGENS/NIGENS/piano/Piano_PlayScale_UpDown1_SFX-KIT.wav,baby,piano
../audioData/NIGENS/NIGENS/alarm/ElectronicAlarm+L2SF2_15.wav,../audioData/NIGENS/NIGENS/maleSpeech/pgakza.wav,alarm,maleSpeech
../audioData/NIGENS/NIGENS/piano/Piano-Horror_GEN-HD2-31110.wav,../audioData/NIGENS/NIGENS/baby/HumanBaby+CTV05_40_01.wav,piano,baby
../audioData/NIGENS/NIGENS/femaleSpeech/bbaj3s.wav,../audioData/NIGENS/NIGENS/phone/TelephoneChildren+6068_70_2.wav,femaleSpeech,phone
../audioData/NIGENS/NIGENS/piano/PianoComedy+CTE07_60_4.wav,../audioData/NIGENS/NIGENS/knock/KnockDoor+HB01_66_3.wav,piano,knock
../audioData/NIGENS/NIGENS/footsteps/FOOTSTEPS-INDOOR_GEN-HDF-11641.wav,../audioData/NIGENS/NIGENS/phone/TelephoneCellular+6087_56.wav,footsteps,phone
../audioData/NIGENS/NIGENS/dog/AnimalDogHusky+6003_53_2.wav,../audioData/NIGENS/NIGENS/engine/MachineSciFi+8006_94_1.wav,dog,engine
../audioData/NIGENS/NIGENS/fire/FireCrackle+6076_11.wav,../audioData/NIGENS/NIGENS/footsteps/Footsteps-Carpet-Boots-Walk-1+Walker-Close-Take2_UFC-DVD-1-0079.wav,fire,footsteps
../audioData/NIGENS/NIGENS/alarm/AlarmElectronic+SFSE02_18_2.wav,../audioData/NIGENS/NIGENS/maleSpeech/pgij3n.wav,alarm,maleSpeech
../audioData/NIGENS/NIGENS/maleScream/63632__vtownpunks__screaming-1.wav,../audioData/NIGENS/NIGENS/femaleScream/HUMAN-SCREAM_GEN-HDF-15244.wav,maleScream,femaleScream
../audioData/NIGENS/NIGENS/footsteps/FOOTSTEPS-OUTDOOR_GEN-HDF-12430.wav,../audioData/NIGENS/NIGENS/piano/196101__aiwha__piano-note-1.wav,footsteps,piano
../audioData/NIGENS/NIGENS/baby/HUMAN-BABY_GEN-HDF-14821.wav,../audioData/NIGENS/NIGENS/maleScream/219863__acehell__crit-marc.wav,baby,maleScream
../audioData/NIGENS/NIGENS/femaleScream/15922__pitx__grito-08.wav,../audioData/NIGENS/NIGENS/alarm/Alarm+8005_14.wav,femaleScream,alarm
../audioData/NIGENS/NIGENS/fire/Fire+6083_89.wav,../audioData/NIGENS/NIGENS/baby/HumanBaby_DIGII08-48.wav,fire,baby
../audioData/NIGENS/NIGENS/phone/TelephoneElectron+6037_37_1.wav,../audioData/NIGENS/NIGENS/maleScream/220623__adriancalzon__scream-05.wav,phone,maleScream
../audioData/NIGENS/NIGENS/femaleSpeech/bbad9p.wav,../audioData/NIGENS/NIGENS/knock/DOOR-KNOCK_GEN-HDF-09719.wav,femaleSpeech,knock
../audioData/NIGENS/NIGENS/femaleSpeech/swwo9n.wav,../audioData/NIGENS/NIGENS/phone/TELEPHONE-ELECTRONIC_GEN-HDF-22882.wav,femaleSpeech,phone
